  0.00000000E+00  0.81653502E+01
  0.79747907E-02  0.81668520E+01
  0.15949581E-01  0.81713434E+01
  0.23924372E-01  0.81787824E+01
  0.31899163E-01  0.81891001E+01
  0.39873953E-01  0.82022025E+01
  0.47848744E-01  0.82179720E+01
  0.55823535E-01  0.82362706E+01
  0.63798325E-01  0.82569425E+01
  0.71773116E-01  0.82798170E+01
  0.79747907E-01  0.83047125E+01
  0.87722697E-01  0.83314387E+01
  0.95697488E-01  0.83598000E+01
  0.10367228E+00  0.83895980E+01
  0.11164707E+00  0.84206320E+01
  0.11962186E+00  0.84526998E+01
  0.12759665E+00  0.84855943E+01
  0.13557144E+00  0.85190981E+01
  0.14354623E+00  0.85529717E+01
  0.15152102E+00  0.85869379E+01
  0.15949581E+00  0.86206685E+01
  0.16747060E+00  0.86538044E+01
  0.17544539E+00  0.86860532E+01
  0.18342019E+00  0.87173283E+01
  0.19139498E+00  0.87477779E+01
  0.19936977E+00  0.87776589E+01
  0.20734456E+00  0.88072112E+01
  0.21531935E+00  0.88366133E+01
  0.22329414E+00  0.88659873E+01
  0.23126893E+00  0.88954146E+01
  0.23924372E+00  0.89249486E+01
  0.24721851E+00  0.89546230E+01
  0.25519330E+00  0.89844562E+01
  0.26316809E+00  0.90144544E+01
  0.27114288E+00  0.90446132E+01
  0.27911767E+00  0.90749186E+01
  0.28709246E+00  0.91053482E+01
  0.29506726E+00  0.91358723E+01
  0.30304205E+00  0.91664548E+01
  0.31101684E+00  0.91970549E+01
  0.31899163E+00  0.92276279E+01
  0.32696642E+00  0.92581266E+01
  0.33494121E+00  0.92885034E+01
  0.34291600E+00  0.93187107E+01
  0.35089079E+00  0.93487028E+01
  0.35886558E+00  0.93784368E+01
  0.36684037E+00  0.94078736E+01
  0.37481516E+00  0.94369787E+01
  0.38278995E+00  0.94657224E+01
  0.39076474E+00  0.94940804E+01
  0.39873953E+00  0.95220337E+01
  0.40671432E+00  0.95495683E+01
  0.41468912E+00  0.95766748E+01
  0.42266391E+00  0.96033477E+01
  0.43063870E+00  0.96295850E+01
  0.43861349E+00  0.96553867E+01
  0.44658828E+00  0.96807547E+01
  0.45456307E+00  0.97056912E+01
