G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
X                             101         0.7974790677      0.0000000000      0.0000000000      0.5000000000
M                             213         1.6889284574      0.2500000000      0.2500000000      0.5000000000
Y                             313         2.4864075251      0.2500000000      0.2500000000      0.0000000000
G                             425         3.3778569148      0.0000000000      0.0000000000      0.0000000000
Z                             450         3.5743020608     -0.2500000000      0.2500000000      0.0000000000
